id,geohash,is_dispatch,name
B001C8VMWD,wm3vy8,1.0,白家场镇幼儿园
B0FFJ7UHWY,wm3vy8,1.0,百家苑二期
B001C7UWK4,wm3vy8,1.0,四川大学西航港实验小学
B001C8X2IQ,wm3vy8,1.0,景茂·雍水岸
B0FFGKP5IZ,wm3vy8,1.0,景茂雍水岸·郦府
B001C80Q9W,wm3vy8,1.0,临江丽苑3期A区
B001C80MUK,wm3vy8,1.0,双流区综合社会福利中心
B0FFF00D1D,wm3vy8,1.0,双流区西航港幼儿园
B001C8O3H1,wm3vyp,1.0,世家商务宾馆(双流区店)
B001C7WS2Y,wm3vyp,1.0,成都双流常乐宾馆(学府店)
B001C8O2TK,wm3vyp,1.0,阳光快乐幼儿园
B001C7RQJ0,wm3vyp,1.0,贝佳才艺幼儿园
B001C8R9IQ,wm3vyp,1.0,尚祥航空大酒店
B0FFG311JV,wm3vyp,1.0,空港聚集宾馆
B001C8O4CU,wm3vyp,1.0,宗航宾馆
B0FFKM8I84,wm3vyp,1.0,昇华台云舒客栈
B0FFF5U81J,wm3vyp,1.0,常乐市场(学府西路)
B0FFIZVBGS,wm3vyp,1.0,劲峰物流
B0FFH2M5GP,wm3vyp,1.0,常乐小区北区
B001C8O0X6,wm3vyp,1.0,华航商务酒店
B0FFFAC7HO,wm3yvz,1.0,大益商住楼
B001C80AAH,wm3yvz,1.0,太阳鸟幼儿园
B001C7XZGF,wm3yvz,1.0,钻石苑(国宁中街)
B001C808MP,wm3yvz,1.0,肖家巷小区
B0FFFAC7I2,wm3yvz,1.0,犀湖街6号院
B001C7TEEZ,wm3yvz,1.0,阳光小区(犀池东一巷)
B001C7XR7Y,wm3yvz,1.0,景翔苑
B001C80AAE,wm3yvz,1.0,郫都区中西医结合医院
B001C8N6IU,wm3yvz,1.0,华胜广场小区
B001C807XE,wm3yvz,1.0,小博士中英文幼稚园(曲池街)
B001C808TY,wm3yvz,1.0,犀浦站
B001C7YO4B,wm3yvz,1.0,犀浦综合市场(郫都区犀浦供销合作社西)
