id,geohash,is_dispatch
B001C8VMWD,wm3vy8,1.0
B0FFJ7UHWY,wm3vy8,1.0
B001C7UWK4,wm3vy8,1.0
B001C8X2IQ,wm3vy8,1.0
B0FFGKP5IZ,wm3vy8,1.0
B001C80Q9W,wm3vy8,1.0
B001C80MUK,wm3vy8,1.0
B0FFF00D1D,wm3vy8,1.0
B001C8O3H1,wm3vyp,1.0
B001C7WS2Y,wm3vyp,1.0
B001C8O2TK,wm3vyp,1.0
B001C7RQJ0,wm3vyp,1.0
B001C8R9IQ,wm3vyp,1.0
B0FFG311JV,wm3vyp,1.0
B001C8O4CU,wm3vyp,1.0
B0FFKM8I84,wm3vyp,1.0
B0FFF5U81J,wm3vyp,1.0
B0FFIZVBGS,wm3vyp,1.0
B0FFH2M5GP,wm3vyp,1.0
B001C8O0X6,wm3vyp,1.0
B0FFFAC7HO,wm3yvz,1.0
B001C80AAH,wm3yvz,1.0
B001C7XZGF,wm3yvz,1.0
B001C808MP,wm3yvz,1.0
B0FFFAC7I2,wm3yvz,1.0
B001C7TEEZ,wm3yvz,1.0
B001C7XR7Y,wm3yvz,1.0
B001C80AAE,wm3yvz,1.0
B001C8N6IU,wm3yvz,1.0
B001C807XE,wm3yvz,1.0
B001C808TY,wm3yvz,1.0
B001C7YO4B,wm3yvz,1.0
B0FFFACVFP,wm3yvz,1.0
B0FFFABU40,wm3yvz,1.0
B001C7YL71,wm3yvz,1.0
B001C7XWUS,wm3yvz,1.0
B0FFFAC52D,wm3yvz,1.0
B001C8TR9F,wm3yvz,1.0
B001C7XDFJ,wm3yvz,1.0
B0FFFACUGM,wm3yvz,1.0
B0FFFEVXVO,wm3yvz,1.0
B0FFFSEUL1,wm3yvz,1.0
B001C7SFJV,wm3yvz,1.0
B0FFFT23RV,wm3yvz,1.0
B0FFFACYPF,wm3yvz,1.0
B001C924LT,wm6n2t,1.0
B001C7XBGH,wm6n2t,1.0
B001C08MUX,wm6n2t,1.0
B001C8OQRM,wm6n2t,1.0
B001C7YBVP,wm6n2t,1.0
B0FFFABZ73,wm6n2t,1.0
B001C8V7FN,wm6n2t,1.0
B0FFF01CM1,wm6n2t,1.0
B001C0A4QS,wm6n2t,1.0
B001C0AD4L,wm6n2t,1.0
B001C8OQV8,wm6n2t,1.0
B001C7UMI1,wm6n2t,1.0
B001C7WJAS,wm6n2t,1.0
B001C8OPCX,wm6n2t,1.0
B0FFFABZ7R,wm6n2t,1.0
B001C7VGZ3,wm6n2t,1.0
B001C8XJDK,wm6n2t,1.0
B0FFH2AI81,wm6n2t,1.0
B001C7Y9WG,wm6n2t,1.0
B001C7WQIG,wm6n2t,1.0
B001C7WS8L,wm6n2t,1.0
B001C08KI6,wm6n2t,1.0
B001C0A3DP,wm6n2t,1.0
B0FFFAC7FI,wm6n2t,1.0
B001C096OM,wm6n2t,1.0
B001C08Q6Z,wm6n2t,1.0
B001C08Q6X,wm6n2t,1.0
B001C7UOH5,wm6n2t,1.0
B001C09ALZ,wm6n2t,1.0
B001C924LX,wm6n2t,1.0
B001C8SBIQ,wm6n2t,1.0
B001C7WRFK,wm6n2t,1.0
B001C0A3DY,wm6n2t,1.0
B001C08Y22,wm6n2t,1.0
B001C7UMKO,wm6n2t,1.0
B001C8OQNR,wm6n2t,1.0
B0FFFAB619,wm6n2t,1.0
B001C7WFEQ,wm6n2t,1.0
B001C8MKCK,wm6n2t,1.0
B001C8OQMI,wm6n2t,1.0
B001C7WFDC,wm6n2t,1.0
B0FFGAK2ND,wm6n2t,1.0
B001C0A3DT,wm6n2t,1.0
B0FFKLC7NC,wm6n2t,1.0
B001C0A3DW,wm6n2t,1.0
B001C7WFDX,wm6n2t,1.0
B001C7SJNW,wm6n2t,1.0
B001C8OQOY,wm6n2t,1.0
B001C7YCLB,wm6n2t,1.0
B001C7WOZS,wm6n2t,1.0
B001C7WFDM,wm6n2t,1.0
B001C07T7I,wm6n2t,1.0
B001C802M0,wm6n2t,1.0
B001C7VQ0Q,wm6n2t,1.0
B001C7WPS7,wm6n2t,1.0
B001C7UMI2,wm6n2t,1.0
B001C8OQLT,wm6n2t,1.0
B001C7V2ZL,wm6n2t,1.0
B001C7UME1,wm6n2t,1.0
B001C09MKG,wm6n2t,1.0
B001C03D6F,wm6n2t,1.0
B0FFFABBIM,wm6n2t,1.0
B0FFFABJHK,wm6n2t,1.0
B001C8OPXS,wm6n2t,1.0
B001C8UAZX,wm6n2t,1.0
B001C92CLS,wm6n2t,1.0
B001C7XDGK,wm6n2t,1.0
B001C0A3DX,wm6n2t,1.0
B001C8OQTM,wm6n2t,1.0
B001C7YAW6,wm6n2t,1.0
B001C7WERA,wm6n2t,1.0
B001C924LR,wm6n2t,1.0
B001C8OQBD,wm6n2t,1.0
B001C0AJ7A,wm6n2t,1.0
B001C7X6P1,wm6n2w,1.0
B0FFFABHJ3,wm6n2w,1.0
B0FFFABAA7,wm6n2w,1.0
B0FFGYG25K,wm6n2w,1.0
B001C0A6QU,wm6n2w,1.0
B001C7Y91L,wm6n2w,1.0
B001C8N5Q2,wm6n2w,1.0
B0FFHD6RPB,wm6n2w,1.0
B0FFFABSC5,wm6n2w,1.0
B0FFFABR8T,wm6n2w,1.0
B001C09FHV,wm6n2w,1.0
B001C7YBL8,wm6n2w,1.0
B001C92FZI,wm6n2w,1.0
B001C8OPFL,wm6n2w,1.0
B001C8MQFV,wm6n2w,1.0
B001C04CD5,wm6n2w,1.0
B001C8MNA5,wm6n2w,1.0
B001C8MUWN,wm6n2w,1.0
B0FFFABK26,wm6n2w,1.0
B001C7WS8N,wm6n2w,1.0
B001C02487,wm6n2w,1.0
B001C7WLV9,wm6n2w,1.0
B0FFFABFCF,wm6n2w,1.0
B0FFFABSF8,wm6n2w,1.0
B0FFFAD3WV,wm6n2w,1.0
B001C7XR7X,wm6n2w,1.0
B0FFFABHJH,wm6n2w,1.0
B0FFFAB6VJ,wm6n2w,1.0
B001C08N7O,wm6n2w,1.0
B0FFFQ1YAY,wm6n2w,1.0
B001C7XBFY,wm6n2w,1.0
B0FFFABJWO,wm6n2w,1.0
B001C7WJF4,wm6n2w,1.0
B001C0921A,wm6n2w,1.0
B0FFFABK3I,wm6n2w,1.0
B0FFGYFXEM,wm6n2w,1.0
B0FFFAB59E,wm6n2w,1.0
B0FFH04WH7,wm6n2w,1.0
B001C7WPZS,wm6n2w,1.0
B0FFFABKYP,wm6n2w,1.0
B0FFFABFFC,wm6n2w,1.0
B001C8MLGK,wm6n2w,1.0
B001C8OOOO,wm6n2w,1.0
B0FFFABSC9,wm6n2w,1.0
B001C7X80K,wm6n2w,1.0
B0FFGARHCF,wm6n2w,1.0
B0FFFABK2F,wm6n2w,1.0
B001C7YQWG,wm6n2w,1.0
B001C8MPR1,wm6n2w,1.0
B001C7YKAD,wm3v7v,0.0
B001C7UXB8,wm3v7v,0.0
B0FFFE851K,wm3v7v,0.0
B0FFF0DR1Z,wm3v7v,0.0
B0FFG57SVR,wm3v7v,0.0
B001C8O7PC,wm3v7v,0.0
B001C7WLI8,wm3yw8,1.0
B0FFGZT1D5,wm3yw8,1.0
