province_region,city_id,city_name,district_id,district_name,is_direct,id,name,lnglat,lng,lat,shape,area,address,typecode,typename,typename_1,typename_2,typename_3,modifiedtime,ds
东南,69,绍兴,1081,诸暨,0,B023F030V8,诸暨工业学校,"120.32075950000001,29.5748405",120.32075950000001,29.5748405,"120.319299,29.575436;120.319593,29.575655;120.32156,29.576117;120.322059,29.57593;120.322072,29.575873;120.32196,29.575846;120.322035,29.575508;120.322189,29.575527;120.32222,29.575391;120.32208,29.574477;120.321914,29.573982;120.321716,29.573807;120.321561,29.573648;120.321417,29.573579;120.321284,29.573564;120.32062,29.573853;120.320515,29.573864;120.320495,29.574129;120.319935,29.57433;120.319988,29.574537;120.319299,29.575436",0.053301,璜山镇求知路诸暨工业学校,141206,科教文化服务;学校;职业技术学校,科教文化服务,学校,职业技术学校,20200204,20201011
东南,69,绍兴,5344,柯桥区,1,B0FFH1NC1J,梅和家园,"120.510498,30.0392855",120.510498,30.0392855,"120.509794,30.038877;120.510025,30.03872;120.510092,30.038714;120.510423,30.03869;120.510501,30.038676;120.511202,30.039413;120.511068,30.03952;120.511176,30.039642;120.510759,30.039895;120.509794,30.038877",4.82E-4,柯南大道,120300,商务住宅;住宅区;住宅区,商务住宅,住宅区,住宅区,20200804,20201011
东南,69,绍兴,5343,越城区,1,B0FFHHMQLR,浙江民泰商业银行民泰学院,"120.6138415,29.988226",120.6138415,29.988226,"120.613085,29.988645;120.613014,29.988616;120.613017,29.987807;120.614669,29.987816;120.614648,29.988634;120.613085,29.988645",0.024242,延安东路618号,141200,科教文化服务;学校;学校,科教文化服务,学校,学校,20200802,20201011
东南,69,绍兴,1089,上虞区,0,B023F033NM,蒿坝小学,"120.8554855,29.9545005",120.8554855,29.9545005,"120.854775,29.954084;120.854932,29.953892;120.855049,29.953961;120.8553,29.954238;120.855403,29.954347;120.855699,29.95461;120.855986,29.954795;120.8561,29.95487;120.856196,29.954919;120.856084,29.95499;120.856,29.955026;120.85589,29.955053;120.855673,29.955084;120.855491,29.955109;120.855347,29.955032;120.855195,29.95489;120.85505,29.954658;120.854939,29.954431;120.85484,29.954221;120.854775,29.954084",0.014134,曹娥街道,141203,科教文化服务;学校;小学,科教文化服务,学校,小学,20200204,20201011
东南,69,绍兴,1081,诸暨,0,B023F02Q1D,滨江华都,"120.2439425,29.732916000000003",120.2439425,29.732916000000003,"120.242651,29.73396;120.242348,29.733602;120.242362,29.733513;120.243191,29.732922;120.243617,29.73236;120.244001,29.731827;120.245476,29.731615;120.245537,29.731669;120.245328,29.732738;120.245183,29.732966;120.245127,29.733467;120.244964,29.733716;120.244738,29.734217;120.244339,29.734217;120.243754,29.734058;120.243153,29.733844;120.243043,29.733795;120.242651,29.73396",0.061156,暨北路1,120302,商务住宅;住宅区;住宅小区,商务住宅,住宅区,住宅小区,20200804,20201011
东南,69,绍兴,5344,柯桥区,1,B023F02TST,钱江大厦,"120.4012505,30.1300235",120.4012505,30.1300235,"120.401386,30.130767;120.400983,30.130765;120.400973,30.12928;120.401523,30.129303;120.401528,30.129802;120.401375,30.129797;120.401386,30.130767",0.013967,大钱门国贸1号地块(东江卫生室东北),120302|120201,商务住宅;住宅区;住宅小区|商务住宅;楼宇;商务写字楼,商务住宅,住宅区,住宅小区|商务住宅,20200804,20201011
东南,69,绍兴,5343,越城区,1,B023F0P9J8,新亚都,"120.58630500000001,29.9959605",120.58630500000001,29.9959605,"120.585783,29.996309;120.585791,29.996326;120.585802,29.996341;120.585814,29.996358;120.585834,29.996368;120.585868,29.996374;120.585943,29.99637;120.586483,29.996237;120.586643,29.996167;120.586815,29.995978;120.586823,29.995958;120.586827,29.99594;120.586825,29.995924;120.58682,29.995913;120.586802,29.995904;120.586777,29.995898;120.586545,29.995901;120.58653,29.9959;120.58652,29.995894;120.586517,29.995883;120.586517,29.995584;120.586513,29.995574;120.586503,29.995561;120.586491,29.995556;120.586474,29.995554;120.585838,29.995547;120.585826,29.995548;120.585815,29.995553;120.58581,29.995557;120.585802,29.995567;120.585799,29.996122;120.585783,29.996309",0.013167,人民中路218号(交通银行正对面),100104,住宿服务;宾馆酒店;三星级宾馆,住宿服务,宾馆酒店,三星级宾馆,20200804,20201011
东南,69,绍兴,1094,嵊州,0,B0FFF01WCH,宝盈·茗泓苑,"120.8640215,29.630056",120.8640215,29.630056,"120.863391,29.631203;120.863386,29.630876;120.862849,29.630862;120.862817,29.630074;120.862517,29.630084;120.862501,29.629016;120.862544,29.628955;120.862597,29.628932;120.865392,29.628909;120.865494,29.628932;120.865516,29.62896;120.865542,29.628988;120.865339,29.631068;120.86528,29.631147;120.86522,29.631193;120.863391,29.631203",0.081162,南一路与浦南二路交叉口西150米,120300,商务住宅;住宅区;住宅区,商务住宅,住宅区,住宅区,20200802,20201011
东南,69,绍兴,5344,柯桥区,1,B023F02UFK,华宇·镜水苑,"120.434334,30.068668000000002",120.434334,30.068668000000002,"120.43377,30.068354;120.433173,30.067612;120.433779,30.067304;120.434337,30.067996;120.434635,30.068232;120.434882,30.06849;120.435143,30.068687;120.435223,30.068871;120.435495,30.069458;120.435142,30.069656;120.434377,30.070032;120.433951,30.069507;120.433246,30.068704;120.43377,30.068354",0.035517,永鉴线北50米,120302,商务住宅;住宅区;住宅小区,商务住宅,住宅区,住宅小区,20200804,20201011
东南,69,绍兴,1089,上虞区,0,B0FFHZVU86,上虞区老年大学,"120.8548795,30.0327925",120.8548795,30.0327925,"120.855476,30.03303;120.855471,30.033246;120.855466,30.033263;120.855454,30.033275;120.855432,30.033281;120.854833,30.033291;120.85477,30.033275;120.85472,30.033245;120.854685,30.033217;120.854657,30.033185;120.854552,30.032897;120.854417,30.032633;120.854288,30.032388;120.854283,30.032355;120.854297,30.032329;120.854338,30.032302;120.854366,30.032296;120.854395,30.032294;120.855431,30.032316;120.855445,30.032322;120.855459,30.032336;120.855464,30.032352;120.85547,30.032379;120.855476,30.03303",0.011931,市民中心2路3-1号,140000,科教文化服务;科教文化场所;科教文化场所,科教文化服务,科教文化场所,科教文化场所,20200804,20201011
东南,69,绍兴,5343,越城区,1,B0FFG03KJP,陆游小学,"120.5212735,30.021403",120.5212735,30.021403,"120.521194,30.021997;120.521055,30.022085;120.52118,30.022257;120.520648,30.022534;120.520251,30.021983;120.519825,30.021472;120.520937,30.020568;120.521098,30.020794;120.521281,30.020796;120.522192,30.020272;120.522722,30.021148;120.521194,30.021997",0.038797,胜利西路1791号,141203,科教文化服务;学校;小学,科教文化服务,学校,小学,20200804,20201011
东南,69,绍兴,1109,新昌,0,B0FFF9V8YE,人和景园二期,"120.86236099999999,29.506349",120.86236099999999,29.506349,"120.862639,29.506924;120.86275,29.506917;120.862857,29.506846;120.863362,29.505845;120.862589,29.505774;120.862359,29.506185;120.861454,29.506098;120.86136,29.506739;120.862639,29.506924",0.011843,南岩路与孝行路交叉口西南100米,120302,商务住宅;住宅区;住宅小区,商务住宅,住宅区,住宅小区,20200804,20201011
